"x","cent3","cent10","cent25","cent50","cent75","cent90","cent97"
12,7.27384381389718,9.62048012222136,12.2849825593574,15.9464523168035,21.3004282248658,29.7990003502351,48.7911939860812
13,9.40081156890711,14.5070221488057,19.832270404418,26.2868879228797,34.2500723021014,44.3447883364608,60.3657285229457
14,10.7362156026419,21.188436579116,31.6904258808902,43.0509069399788,55.3022230310607,68.8234224656827,87.1782375089761
15,16.9811340293296,33.8212044899004,51.4794428276298,69.7350165677408,87.9718017252757,106.623895706079,130.104634236901
16,30.5290743067463,55.79778776644,81.8769372228152,108.027273388164,133.102497754343,157.836261132188,188.005858431552
17,52.1121904311536,87.8158007183767,122.559289753532,155.95409747389,187.0805571897,217.350738546844,254.051043076304
18,81.8712304024701,129.088426595767,171.560461796101,210.472498639993,246.070405152408,280.766130457353,323.367060331901
19,120.069398932282,178.861579539303,227.441210658223,270.019437817669,308.6394280811,346.833846007855,394.951916396919
20,166.978296737974,236.938833038966,290.523583444785,335.884983539423,376.981526978226,418.478759378514,472.431639315616
21,217.77934807906,299.560897797775,359.122846464123,408.431192563455,453.238067695927,499.479377860241,561.523322464609
22,263.501965227687,359.982552352896,429.060529685557,485.683348911921,537.366232591712,591.709148606325,666.582136223514
23,294.265365724032,409.485276315879,493.516124353579,562.683622746903,626.182427771898,693.853164879377,788.826889602015
24,305.607255313328,442.099755490133,546.543201402498,634.208715393784,715.427779687228,802.772924942873,926.705364745782
25,304.599490332193,462.143230079547,589.890914911251,700.282923155774,803.839081612689,915.852754201901,1075.5416045223
26,307.713908350234,485.762346190968,635.977327032097,768.959249583836,895.048463949017,1031.56536453793,1225.73703812823
27,324.334488940282,526.757115361274,700.212872167863,856.123018053348,1005.07893799421,1165.77110632868,1392.30568995416
28,360.288533019851,593.612445234824,792.087014733255,972.144963071585,1145.3883324988,1331.21793216496,1589.72939781382
29,424.740259800418,692.104815412099,913.589859820608,1116.4967097771,1313.74023388253,1524.23135902072,1812.51137057282
30,542.579241568766,835.506890773404,1070.68621105532,1289.91295205684,1506.09152256199,1735.57256578018,2043.84278966766
31,727.632525165871,1024.10600862782,1262.04876142027,1491.10587421635,1721.31650292657,1964.51964979491,2284.19853182278
32,952.877333980069,1235.10155558329,1471.91852089534,1710.53807913331,1956.27009182666,2215.59453363242,2550.09995652606
33,1171.98613535908,1436.07569105005,1672.7671537766,1923.88026292793,2190.22018892188,2472.92207480716,2833.63096503707
34,1362.53158060454,1610.27634719552,1846.96508280477,2111.14583990186,2400.79470031973,2712.41222178845,3109.7959295118
35,1527.66323908364,1760.38912215731,1994.46079767329,2267.27644290543,2575.84985421091,2913.27029897063,3345.8922727329
36,1671.2129390359,1893.4882290206,2124.97675529977,2402.74508697589,2723.20155637395,3076.46529650337,3528.7994008925
37,1796.00089583832,2018.72438191156,2255.29780736484,2543.0502636463,2876.41142161971,3241.36418306359,3700.60038361294
38,1913.8457225576,2152.31675531462,2407.12689592588,2716.55879403748,3070.6112746908,3449.08894651743,3908.67033301404
39,2064.55360725539,2325.2420859283,2600.78042066789,2929.0608851473,3293.52551616279,3667.84295446133,4100.05907335736
40,2245.4118863336,2523.76368953821,2811.47342006719,3144.46642158772,3500.4994904586,3850.45430956328,4234.77339238588
41,2422.58098968235,2707.30705606315,2994.57682643349,3317.77562521932,3651.82033996982,3968.23307973745,4302.07636483387
